video_id,title,description,upload_date,duration,view_count,thumbnail,watch_url,embed_url
JtbQmtmDC1A,Teletoon Commercial From The Nostalgia Dimension™,,,66.0,34,https://i.ytimg.com/vi/JtbQmtmDC1A/hqdefault.jpg,https://www.youtube.com/watch?v=JtbQmtmDC1A,https://www.youtube.com/embed/JtbQmtmDC1A
Jydb3k5ubfk,Cartoon Chaos Gremlin VFX Glitch Demo Reel,,,59.0,19,https://i.ytimg.com/vi/Jydb3k5ubfk/hqdefault.jpg,https://www.youtube.com/watch?v=Jydb3k5ubfk,https://www.youtube.com/embed/Jydb3k5ubfk
lL4k0zXvj80,PSA: This Channel Is a Glitch in Reality Abandon Logic,,,65.0,28,https://i.ytimg.com/vi/lL4k0zXvj80/hqdefault.jpg,https://www.youtube.com/watch?v=lL4k0zXvj80,https://www.youtube.com/embed/lL4k0zXvj80
1u2EkZBxZKg,This Video Will RUIN Your 4AM DON’T Watch,,,14.0,2,https://i.ytimg.com/vi/1u2EkZBxZKg/hqdefault.jpg,https://www.youtube.com/watch?v=1u2EkZBxZKg,https://www.youtube.com/embed/1u2EkZBxZKg
dLnlJj8T8PU,The Mask That Haunts Your Dreams Majora’s Mask + The Mask Meme,,,66.0,3,https://i.ytimg.com/vi/dLnlJj8T8PU/hqdefault.jpg,https://www.youtube.com/watch?v=dLnlJj8T8PU,https://www.youtube.com/embed/dLnlJj8T8PU
VwGwipe1NlA,Land of the Silver Birch Michael Mitchell Cover Tribute to My OG Subs 🍁,,,146.0,4,https://i.ytimg.com/vi/VwGwipe1NlA/hqdefault.jpg,https://www.youtube.com/watch?v=VwGwipe1NlA,https://www.youtube.com/embed/VwGwipe1NlA
bAuV3sAYgdU,Still Don’t Know What I’m Doing ✋,,,22.0,39,https://i.ytimg.com/vi/bAuV3sAYgdU/hqdefault.jpg,https://www.youtube.com/watch?v=bAuV3sAYgdU,https://www.youtube.com/embed/bAuV3sAYgdU
XxghMTkmNU4,ChatGPT Monday ROASTS My Cringe Rap Lyrics AI Chaos Experiment,,,122.0,0,https://i.ytimg.com/vi/XxghMTkmNU4/hqdefault.jpg,https://www.youtube.com/watch?v=XxghMTkmNU4,https://www.youtube.com/embed/XxghMTkmNU4
aCWwsCvffjw,Portal 3: Resonance Lucid Dream,,,355.0,13,https://i.ytimg.com/vi/aCWwsCvffjw/hqdefault.jpg,https://www.youtube.com/watch?v=aCWwsCvffjw,https://www.youtube.com/embed/aCWwsCvffjw
YMAanAtn3uM,Pot of Gold For Those Who Actually Listen Lyric Visualizer,,,137.0,0,https://i.ytimg.com/vi/YMAanAtn3uM/hqdefault.jpg,https://www.youtube.com/watch?v=YMAanAtn3uM,https://www.youtube.com/embed/YMAanAtn3uM
dXfaz1if0M0,Planet Homer For The Lost Ones Who Drift Too Deep,,,82.0,0,https://i.ytimg.com/vi/dXfaz1if0M0/hqdefault.jpg,https://www.youtube.com/watch?v=dXfaz1if0M0,https://www.youtube.com/embed/dXfaz1if0M0
9Phcphm4Ky0,The Man Who BECAME the UNIVERSE 🌌🐸 Meme Ascension Complete,,,45.0,3,https://i.ytimg.com/vi/9Phcphm4Ky0/hqdefault.jpg,https://www.youtube.com/watch?v=9Phcphm4Ky0,https://www.youtube.com/embed/9Phcphm4Ky0
igirLmsk2lE,"ChatGPT Monday Goes Feral: WHEEEEEEEE 🌀 Real TTS, Real Chaos",,,103.0,2,https://i.ytimg.com/vi/igirLmsk2lE/hqdefault.jpg,https://www.youtube.com/watch?v=igirLmsk2lE,https://www.youtube.com/embed/igirLmsk2lE
yOuEAymNxbA,I Hakai’d Zamasu IRL Toilet Flush Edition 💀🚽✨,,,15.0,13,https://i.ytimg.com/vi/yOuEAymNxbA/hqdefault.jpg,https://www.youtube.com/watch?v=yOuEAymNxbA,https://www.youtube.com/embed/yOuEAymNxbA
D-uxOC8MZac,I Just Ate Cake at 4am Instant Meme,,,7.0,5,https://i.ytimg.com/vi/D-uxOC8MZac/hqdefault.jpg,https://www.youtube.com/watch?v=D-uxOC8MZac,https://www.youtube.com/embed/D-uxOC8MZac
v9eLx0GKp3c,Tektite - Sit With The Static / Friendship Fallout Pt. 5 Finale,,,50.0,8,https://i.ytimg.com/vi/v9eLx0GKp3c/hqdefault.jpg,https://www.youtube.com/watch?v=v9eLx0GKp3c,https://www.youtube.com/embed/v9eLx0GKp3c
5fkoca2HjK0,Tektite - Betrayal Friendship Fallout Pt. 4,,,81.0,9,https://i.ytimg.com/vi/5fkoca2HjK0/hqdefault.jpg,https://www.youtube.com/watch?v=5fkoca2HjK0,https://www.youtube.com/embed/5fkoca2HjK0
